출발 시군구 코드,총 이동시간_출발,총 이동인구_출발,평균 이동 시간(분)_출발,이동인구(합)_출발
11010,10995240,19862431.7,22.036271371910832,39.80758355863484
11020,11181870,20296645.78,21.89359690016584,39.739916591122245
11030,9917590,15148400.31,22.051094484775046,33.68144947804916
11040,10081210,18121271.09,22.043333566568126,39.62353956390925
11050,9670930,18675122.83,22.559682935136067,43.5640470791869
11060,9970040,16973103.47,21.939757233269077,37.350478997773024
11070,8753830,14509927.8,23.65458873885681,39.20870918666519
11080,10060910,19558088.65,22.24969149590209,43.252691725897975
11090,8289750,13084060.28,23.74198075380914,37.47296448619544
11100,7630960,11253816.27,24.649077471703965,36.3514143818802
11110,10024920,21392595.19,24.538465115937523,52.363654853025054
11120,8830140,17191013.47,24.828453012265005,48.33742955073303
11130,9602500,16952589.75,22.486236620074514,39.69798952788855
11140,11129940,24517465.86,22.785029356611176,50.191751201696704
11150,8191370,15668364.41,23.13985547777646,44.26166661016853
11160,10285720,22526485.94,25.538340831669796,55.930851284648774
11170,9006080,15038178.22,23.465860680832215,39.1828403705103
11180,7157390,8467440.48,24.124298926818746,28.539881896133313
11190,11097330,25835980.43,22.16943118730884,51.61322500993869
11200,9335100,16472620.89,21.92248892145328,38.684197166428305
11210,9814740,19706689.55,23.484396759234887,47.15353806654767
11220,11855300,29698071.2,23.212324247698895,58.14793874685991
11230,13568850,46220924.63,23.65501888029232,80.5784458363987
11240,11927950,36207933.02,25.43652570746167,77.21394028959547
11250,9110600,22035184.61,25.274014974769262,61.12853004247197
