,url_num_hyphens_dom,url_hostname_len,url_num_dots,url_num_underscores,url_ip_present,url_entropy,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('object'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a')
439,1.0,26.0,3.0,0.0,0.0,4.287866277,0.0,2.0,0.0,1.0,1.0,1.0,16.0
2596,0.0,23.0,6.0,0.0,1.0,4.656391188,0.0,4.0,0.0,1.0,1.0,1.0,1.0
2183,2.0,28.0,1.0,0.0,0.0,4.308270835,0.0,24.0,0.0,1.0,1.0,5.0,219.0
87,0.0,15.0,2.0,0.0,0.0,4.808985546,1.0,8.0,1.0,1.0,1.0,1.0,119.0
2943,0.0,9.0,2.0,2.0,0.0,4.167896518,0.0,4.0,0.0,1.0,1.0,1.0,275.0
3340,0.0,14.0,4.0,0.0,1.0,4.066784213,0.0,3.0,0.0,1.0,1.0,0.0,0.0
3132,0.0,24.0,2.0,0.0,0.0,4.512507305,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2015,0.0,17.0,6.0,0.0,0.0,4.737246663,0.0,18.0,0.0,1.0,1.0,0.0,21.0
2962,1.0,24.0,1.0,0.0,0.0,4.003259028,0.0,1.0,0.0,1.0,1.0,0.0,1.0
394,1.0,22.0,1.0,0.0,0.0,3.964735179,2.0,21.0,0.0,1.0,1.0,2.0,184.0
2637,4.0,49.0,2.0,0.0,0.0,4.119754216,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3439,0.0,11.0,4.0,0.0,1.0,3.9677201,0.0,3.0,0.0,1.0,1.0,0.0,0.0
1454,0.0,14.0,2.0,1.0,0.0,4.747361263,0.0,1.0,0.0,1.0,2.0,1.0,0.0
671,1.0,22.0,2.0,0.0,0.0,4.246439345,0.0,2.0,0.0,1.0,1.0,1.0,15.0
2987,0.0,14.0,3.0,2.0,0.0,4.878975484,0.0,1.0,0.0,1.0,1.0,0.0,4.0
1721,1.0,28.0,2.0,0.0,0.0,4.071581588,0.0,28.0,0.0,1.0,1.0,1.0,180.0
10,1.0,14.0,2.0,0.0,0.0,4.222690419,3.0,36.0,0.0,1.0,1.0,5.0,214.0
2371,2.0,21.0,1.0,0.0,0.0,3.646966668,0.0,6.0,0.0,1.0,1.0,1.0,10.0
1090,0.0,17.0,2.0,2.0,0.0,4.208297969,0.0,16.0,0.0,1.0,1.0,0.0,0.0
2334,0.0,30.0,2.0,0.0,0.0,4.137338199,0.0,3.0,0.0,1.0,1.0,2.0,5.0
2927,0.0,12.0,1.0,0.0,0.0,4.33617463,1.0,82.0,0.0,1.0,1.0,2.0,70.0
1308,0.0,11.0,3.0,0.0,0.0,3.683742182,0.0,8.0,0.0,1.0,1.0,0.0,35.0
460,0.0,19.0,1.0,0.0,0.0,3.884155095,1.0,8.0,0.0,1.0,1.0,2.0,5.0
157,0.0,27.0,3.0,0.0,0.0,4.112063152,0.0,2.0,0.0,1.0,1.0,1.0,15.0
248,0.0,12.0,2.0,0.0,0.0,3.978864088,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1838,0.0,12.0,2.0,0.0,0.0,4.941933967,0.0,3.0,0.0,1.0,1.0,0.0,1.0
1044,0.0,17.0,1.0,0.0,0.0,4.139468294,0.0,2.0,0.0,1.0,1.0,1.0,0.0
3326,2.0,26.0,4.0,0.0,0.0,5.64727204,0.0,2.0,0.0,1.0,1.0,1.0,0.0
2067,0.0,17.0,1.0,0.0,0.0,4.318045626,0.0,9.0,0.0,1.0,1.0,1.0,4.0
2228,1.0,27.0,2.0,0.0,0.0,4.214803843,0.0,2.0,0.0,1.0,1.0,1.0,16.0
569,0.0,10.0,1.0,0.0,0.0,4.502364423,2.0,83.0,0.0,1.0,1.0,3.0,170.0
2134,3.0,39.0,3.0,0.0,0.0,4.123528902,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2828,0.0,9.0,3.0,0.0,0.0,4.491271794,1.0,13.0,1.0,1.0,1.0,1.0,81.0
1503,0.0,17.0,2.0,0.0,0.0,4.626310204,1.0,8.0,1.0,1.0,1.0,1.0,119.0
1451,0.0,13.0,2.0,0.0,0.0,3.68418372,0.0,18.0,0.0,1.0,1.0,1.0,344.0
1224,2.0,40.0,3.0,0.0,0.0,4.406032729,0.0,2.0,0.0,1.0,1.0,1.0,16.0
2890,2.0,35.0,3.0,0.0,0.0,4.406428001,0.0,2.0,0.0,1.0,1.0,1.0,16.0
1959,0.0,21.0,1.0,0.0,0.0,4.083023151,0.0,1.0,0.0,1.0,2.0,1.0,3.0
228,0.0,17.0,2.0,0.0,0.0,3.918295834,0.0,4.0,0.0,1.0,1.0,1.0,564.0
925,0.0,21.0,2.0,0.0,0.0,4.164497779,1.0,2.0,0.0,1.0,0.0,0.0,0.0
2885,0.0,13.0,3.0,0.0,0.0,4.189561096,0.0,4.0,0.0,1.0,1.0,0.0,0.0
2750,0.0,28.0,2.0,0.0,0.0,4.10701771,2.0,9.0,0.0,1.0,1.0,0.0,0.0
2440,1.0,30.0,2.0,0.0,0.0,4.154315949,0.0,2.0,0.0,1.0,1.0,1.0,16.0
1353,0.0,21.0,2.0,0.0,0.0,3.994680368,0.0,10.0,0.0,1.0,1.0,0.0,0.0
2213,0.0,18.0,1.0,0.0,0.0,4.431623566,0.0,7.0,0.0,1.0,2.0,0.0,10.0
2973,1.0,19.0,2.0,0.0,0.0,4.351837256,0.0,2.0,0.0,1.0,1.0,1.0,13.0
3381,2.0,32.0,3.0,1.0,0.0,4.749163173,1.0,2.0,0.0,1.0,1.0,2.0,5.0
874,0.0,19.0,1.0,0.0,0.0,3.778423503,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2624,1.0,14.0,2.0,0.0,0.0,3.975554513,0.0,8.0,0.0,1.0,1.0,1.0,8.0
2070,0.0,14.0,4.0,0.0,0.0,3.977916875,1.0,20.0,0.0,1.0,1.0,0.0,45.0
623,1.0,14.0,1.0,0.0,0.0,4.030639062,0.0,12.0,0.0,1.0,1.0,0.0,481.0
799,0.0,15.0,2.0,0.0,0.0,4.498955383,1.0,48.0,0.0,1.0,1.0,3.0,341.0
941,3.0,32.0,1.0,0.0,0.0,4.017407858,0.0,2.0,0.0,1.0,1.0,1.0,16.0
1705,0.0,20.0,4.0,0.0,0.0,4.046439345,0.0,17.0,0.0,1.0,1.0,1.0,3.0
1237,1.0,28.0,2.0,0.0,0.0,4.153571738,0.0,2.0,0.0,1.0,1.0,1.0,16.0
1414,2.0,26.0,2.0,0.0,0.0,4.263313653,0.0,2.0,0.0,1.0,1.0,1.0,18.0
2522,0.0,17.0,3.0,0.0,0.0,4.418757405,0.0,17.0,0.0,1.0,1.0,2.0,29.0
2705,2.0,42.0,2.0,0.0,0.0,4.504187337,1.0,3.0,0.0,1.0,1.0,1.0,3.0
3487,2.0,63.0,6.0,0.0,0.0,4.666229985,0.0,3.0,0.0,1.0,1.0,1.0,11.0
3661,1.0,26.0,4.0,0.0,0.0,4.693343075,0.0,13.0,0.0,1.0,1.0,2.0,103.0
2154,0.0,11.0,2.0,0.0,0.0,3.884155095,2.0,43.0,0.0,1.0,1.0,2.0,76.0
1427,0.0,18.0,2.0,0.0,0.0,4.913648809,1.0,8.0,1.0,1.0,1.0,1.0,119.0
2203,0.0,20.0,2.0,0.0,0.0,4.208410187,0.0,18.0,0.0,1.0,1.0,0.0,57.0
3097,1.0,27.0,2.0,0.0,0.0,4.299212035,0.0,6.0,0.0,1.0,1.0,1.0,0.0
2277,0.0,21.0,2.0,0.0,0.0,3.398098455,0.0,21.0,0.0,2.0,1.0,0.0,48.0
1434,0.0,13.0,4.0,0.0,0.0,4.846377262,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1541,2.0,31.0,1.0,0.0,0.0,4.018070886,0.0,2.0,0.0,1.0,1.0,1.0,16.0
2176,0.0,8.0,2.0,1.0,0.0,4.792274232,0.0,2.0,0.0,1.0,1.0,1.0,8.0
3207,0.0,17.0,6.0,0.0,0.0,4.832050897,0.0,18.0,0.0,1.0,1.0,0.0,21.0
1422,0.0,19.0,3.0,0.0,0.0,3.921165449,2.0,20.0,0.0,1.0,1.0,2.0,89.0
2247,0.0,10.0,1.0,0.0,0.0,3.836591668,1.0,31.0,0.0,1.0,1.0,1.0,46.0
1508,0.0,12.0,4.0,0.0,1.0,4.627854381,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2031,0.0,14.0,3.0,0.0,0.0,4.171474188,0.0,22.0,0.0,1.0,1.0,1.0,11.0
595,0.0,16.0,3.0,0.0,0.0,3.762267391,0.0,1.0,0.0,1.0,1.0,0.0,0.0
299,0.0,14.0,1.0,0.0,0.0,4.586236325,0.0,1.0,0.0,1.0,2.0,1.0,0.0
1387,0.0,14.0,2.0,0.0,0.0,3.879664005,0.0,39.0,0.0,1.0,1.0,2.0,304.0
486,0.0,14.0,2.0,1.0,0.0,4.713847204,0.0,1.0,0.0,1.0,2.0,1.0,0.0
973,0.0,17.0,2.0,0.0,0.0,4.15959272,0.0,17.0,1.0,1.0,1.0,0.0,145.0
933,0.0,11.0,8.0,3.0,0.0,3.688904931,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1638,0.0,17.0,2.0,0.0,0.0,3.897299718,0.0,6.0,0.0,1.0,1.0,2.0,12.0
1082,2.0,27.0,2.0,0.0,0.0,4.215002357,0.0,2.0,0.0,1.0,1.0,1.0,16.0
1202,0.0,13.0,2.0,0.0,0.0,3.852546733,0.0,11.0,0.0,1.0,1.0,0.0,0.0
2861,0.0,15.0,4.0,0.0,0.0,4.229780022,1.0,11.0,0.0,1.0,1.0,2.0,64.0
1180,0.0,17.0,1.0,0.0,0.0,4.243158792,0.0,9.0,0.0,1.0,1.0,1.0,4.0
577,0.0,15.0,2.0,0.0,0.0,4.045293422,0.0,0.0,0.0,1.0,1.0,0.0,1.0
893,0.0,20.0,2.0,0.0,0.0,4.294653474,0.0,17.0,0.0,1.0,1.0,1.0,33.0
2483,1.0,16.0,2.0,0.0,0.0,3.559079571,0.0,3.0,0.0,1.0,1.0,2.0,131.0
996,0.0,17.0,2.0,0.0,0.0,3.970175521,0.0,8.0,0.0,1.0,1.0,0.0,77.0
1143,0.0,10.0,2.0,0.0,0.0,4.053235913,0.0,0.0,0.0,1.0,1.0,1.0,3.0
1407,0.0,14.0,2.0,0.0,0.0,3.558518613,0.0,5.0,0.0,1.0,1.0,1.0,560.0
1453,0.0,18.0,1.0,0.0,0.0,4.517234467,0.0,5.0,0.0,1.0,1.0,1.0,14.0
1136,1.0,34.0,3.0,0.0,0.0,5.185174278,0.0,1.0,0.0,1.0,1.0,0.0,4.0
2131,0.0,18.0,2.0,0.0,0.0,4.16385619,0.0,15.0,0.0,1.0,1.0,2.0,51.0
2625,0.0,22.0,3.0,0.0,0.0,4.185059837,0.0,11.0,0.0,1.0,1.0,1.0,17.0
1969,0.0,23.0,2.0,0.0,0.0,4.446390771,1.0,8.0,1.0,1.0,1.0,1.0,72.0
2463,0.0,17.0,2.0,0.0,0.0,3.938721876,0.0,4.0,0.0,1.0,1.0,1.0,564.0
2021,2.0,27.0,1.0,0.0,0.0,4.082673185,0.0,2.0,0.0,1.0,1.0,1.0,16.0
1222,0.0,13.0,1.0,0.0,0.0,3.538310596,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2776,0.0,18.0,2.0,0.0,0.0,4.13366069,0.0,22.0,0.0,1.0,1.0,1.0,73.0
1727,0.0,16.0,1.0,0.0,0.0,4.096568168,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1352,2.0,26.0,1.0,0.0,0.0,4.104302932,0.0,2.0,0.0,1.0,1.0,1.0,18.0
902,0.0,7.0,1.0,0.0,0.0,3.937751955,0.0,30.0,0.0,1.0,1.0,7.0,65.0
2952,0.0,13.0,3.0,0.0,1.0,3.919563347,1.0,21.0,0.0,1.0,1.0,1.0,123.0
2807,0.0,15.0,2.0,0.0,0.0,3.88333746,0.0,9.0,0.0,1.0,1.0,1.0,69.0
2802,0.0,9.0,4.0,1.0,0.0,4.671955219,0.0,0.0,0.0,1.0,1.0,0.0,1.0
3230,0.0,25.0,3.0,0.0,0.0,4.270426578,1.0,61.0,0.0,1.0,1.0,2.0,102.0
1514,0.0,15.0,3.0,0.0,1.0,4.44326146,0.0,7.0,0.0,1.0,1.0,1.0,7.0
2110,1.0,24.0,1.0,0.0,0.0,4.155639062,0.0,6.0,0.0,1.0,1.0,3.0,103.0
3577,0.0,15.0,2.0,0.0,0.0,3.814371943,0.0,9.0,0.0,1.0,1.0,1.0,71.0
1292,0.0,17.0,3.0,2.0,0.0,4.992431278,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2928,2.0,25.0,2.0,0.0,0.0,4.242686778,0.0,2.0,0.0,1.0,1.0,1.0,18.0
227,0.0,13.0,1.0,0.0,0.0,5.19579117,0.0,0.0,0.0,1.0,1.0,1.0,8.0
3531,0.0,17.0,3.0,0.0,0.0,4.363038522,0.0,17.0,0.0,1.0,1.0,2.0,29.0
547,0.0,12.0,1.0,0.0,0.0,3.78418372,0.0,15.0,0.0,1.0,1.0,1.0,7.0
988,1.0,34.0,3.0,0.0,0.0,4.91392458,0.0,1.0,0.0,1.0,1.0,1.0,26.0
1579,1.0,27.0,3.0,0.0,0.0,4.290984207,0.0,2.0,0.0,1.0,1.0,1.0,16.0
1168,0.0,14.0,2.0,0.0,0.0,4.262290577,0.0,14.0,0.0,1.0,1.0,0.0,3.0
273,0.0,24.0,4.0,0.0,0.0,4.453944602,1.0,46.0,0.0,1.0,1.0,3.0,618.0
1979,1.0,17.0,1.0,0.0,0.0,4.115897411,0.0,1.0,0.0,1.0,1.0,0.0,1.0
558,1.0,34.0,2.0,0.0,0.0,4.196264312,0.0,2.0,0.0,1.0,1.0,1.0,16.0
2651,0.0,18.0,2.0,0.0,0.0,4.203255569,0.0,17.0,0.0,1.0,1.0,2.0,95.0
1686,0.0,17.0,2.0,0.0,0.0,4.053508855,1.0,6.0,0.0,1.0,1.0,3.0,162.0
1078,1.0,21.0,2.0,0.0,0.0,4.182336834,0.0,2.0,0.0,1.0,1.0,1.0,18.0
2087,0.0,22.0,2.0,0.0,0.0,4.678989236,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1897,0.0,15.0,3.0,0.0,0.0,4.521013604,0.0,0.0,0.0,1.0,1.0,0.0,3.0
3087,0.0,13.0,2.0,0.0,0.0,4.573458854,0.0,9.0,0.0,1.0,1.0,1.0,14.0
1804,0.0,15.0,3.0,1.0,0.0,4.173234368,0.0,6.0,0.0,1.0,1.0,0.0,48.0
1908,0.0,16.0,2.0,0.0,0.0,4.265069337,0.0,0.0,0.0,1.0,1.0,1.0,16.0
3378,0.0,17.0,3.0,0.0,0.0,4.22494127,0.0,9.0,0.0,1.0,1.0,1.0,15.0
836,0.0,14.0,3.0,0.0,1.0,3.689703732,0.0,1.0,1.0,1.0,1.0,0.0,3.0
1105,0.0,17.0,3.0,0.0,0.0,4.473429846,0.0,17.0,0.0,1.0,1.0,2.0,29.0
1271,0.0,10.0,4.0,0.0,1.0,3.9677201,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2872,0.0,17.0,2.0,0.0,0.0,4.184862969,0.0,11.0,0.0,1.0,1.0,2.0,128.0
1564,0.0,14.0,3.0,1.0,0.0,4.777593829,0.0,2.0,0.0,1.0,1.0,0.0,2.0
2160,3.0,46.0,2.0,0.0,0.0,4.426209614,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3393,0.0,13.0,4.0,0.0,1.0,4.816115937,0.0,1.0,0.0,1.0,1.0,1.0,18.0
3589,0.0,11.0,2.0,0.0,0.0,4.527681139,0.0,0.0,0.0,1.0,1.0,0.0,3.0
855,0.0,16.0,3.0,0.0,0.0,4.257319115,0.0,17.0,0.0,1.0,1.0,0.0,85.0
784,1.0,34.0,3.0,0.0,0.0,4.984287991,0.0,1.0,0.0,1.0,1.0,1.0,26.0
825,0.0,13.0,3.0,0.0,0.0,4.878047284,0.0,17.0,0.0,1.0,1.0,2.0,17.0
1746,0.0,11.0,2.0,0.0,0.0,4.5560506,0.0,0.0,0.0,1.0,1.0,0.0,3.0
1829,0.0,21.0,1.0,0.0,0.0,4.131769501,0.0,21.0,0.0,1.0,1.0,1.0,19.0
432,1.0,20.0,1.0,0.0,0.0,4.083616975,0.0,2.0,0.0,1.0,1.0,1.0,31.0
2406,0.0,22.0,2.0,0.0,0.0,4.071469646,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2999,1.0,28.0,2.0,0.0,0.0,4.116408566,0.0,2.0,0.0,1.0,1.0,1.0,16.0
899,0.0,13.0,2.0,1.0,0.0,4.790191089,0.0,0.0,0.0,1.0,1.0,0.0,3.0
2719,0.0,17.0,1.0,0.0,0.0,4.139468294,0.0,2.0,0.0,1.0,1.0,1.0,0.0
2686,1.0,14.0,2.0,0.0,0.0,4.106046336,0.0,10.0,0.0,1.0,1.0,1.0,3.0
1817,1.0,34.0,3.0,0.0,0.0,4.826960876,0.0,1.0,0.0,1.0,1.0,1.0,26.0
292,1.0,26.0,3.0,0.0,0.0,4.319909676,0.0,2.0,0.0,1.0,1.0,1.0,18.0
2511,0.0,17.0,2.0,0.0,0.0,4.001629167,0.0,15.0,0.0,1.0,1.0,0.0,36.0
2121,1.0,13.0,2.0,2.0,0.0,4.817059908,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1070,0.0,15.0,3.0,0.0,0.0,3.762267391,0.0,22.0,0.0,1.0,1.0,0.0,57.0
2116,1.0,37.0,2.0,0.0,0.0,3.998871107,0.0,4.0,0.0,1.0,1.0,0.0,69.0
2166,1.0,27.0,2.0,0.0,0.0,4.278351812,0.0,9.0,0.0,1.0,1.0,2.0,122.0
146,0.0,16.0,3.0,0.0,0.0,4.25533775,0.0,11.0,0.0,1.0,1.0,1.0,87.0
2281,0.0,27.0,1.0,0.0,0.0,4.179776181,1.0,2.0,0.0,1.0,1.0,2.0,5.0
